"grp","category","n","p","p100"
"admission method","nonElective",351156,0.374134997405658,37.4134997405658
"admission method","elective",587425,0.625865002594342,62.5865002594342
"Charlson comorbidity score","1_2c",73346,0.0781456262165972,7.81456262165972
"Charlson comorbidity score","3_4c",418318,0.445691954130757,44.5691954130757
"Charlson comorbidity score","5+c",446917,0.476162419652646,47.6162419652646
"length of stay","00d",615607,0.655891180409576,65.5891180409576
"length of stay","01_02d",113643,0.121079587164027,12.1079587164027
"length of stay","03_07d",107212,0.114227754450601,11.4227754450601
"length of stay","08_14d",54901,0.0584936196236659,5.84936196236659
"length of stay","15_30d",35790,0.0381320312258612,3.81320312258612
"length of stay","31_60d",11428,0.0121758271262683,1.21758271262683
"Comm services contact before admission","00p",797177,0.849342784479976,84.9342784479976
"Comm services contact before admission","01p",53293,0.0567803950857731,5.67803950857731
"Comm services contact before admission","02_03p",35984,0.0383387262260796,3.83387262260796
"Comm services contact before admission","04_08p",31056,0.0330882470452737,3.30882470452737
"Comm services contact before admission","09_15p",11243,0.011978721069359,1.1978721069359
"Comm services contact before admission","16_29p",5297,0.00564362585647909,0.564362585647909
"Comm services contact before admission","30+p",4531,0.00482750023705999,0.482750023705999
