"grp","category","n","p","p100"
"Integrated Care Board","Cambridgeshire & Peterborough",14554,0.0155063867689629,1.55063867689629
"Integrated Care Board","Bath, NE Somerset, Swindon & Wiltshire",15157,0.0161488459706727,1.61488459706727
"Integrated Care Board","Bedfordshire, Luton & Milton Keynes",15166,0.0161584349139819,1.61584349139819
"Integrated Care Board","Birmingham & Solihul",18446,0.0196530720310767,1.96530720310767
"Integrated Care Board","Black Country",21597,0.0230102676274078,2.30102676274078
"Integrated Care Board","Bristol, N Somerset, Swindon & S Gloucestershire",15486,0.0164993751205277,1.64993751205277
"Integrated Care Board","Buckinghamshire, Oxfordshire &  W Berkshire",23996,0.0255662537383561,2.55662537383561
"Integrated Care Board","Cheshire & Merseyside",46043,0.0490559685312189,4.90559685312189
"Integrated Care Board","Cornwall & Isles of Scilly",10943,0.0116590896257222,1.16590896257222
"Integrated Care Board","Coventry & Warwickshire",17673,0.0188294883446394,1.88294883446394
"Integrated Care Board","Derby & Derbyshire",21189,0.0225755688640618,2.25755688640618
"Integrated Care Board","Devon",23336,0.0248630645623553,2.48630645623553
"Integrated Care Board","Frimley",3591,0.00382598838033159,0.382598838033159
"Integrated Care Board","Gloucestershire",10466,0.0111508756303398,1.11508756303398
"Integrated Care Board","Greater Manchester",46289,0.049318066315001,4.9318066315001
"Integrated Care Board","Hampshire & Isle of Wight",34089,0.0363197209404409,3.63197209404409
"Integrated Care Board","Herefordshire & Worcestershire",17900,0.0190713428036579,1.90713428036579
"Integrated Care Board","Hertfordshire & W Essex",23786,0.0253425117278104,2.53425117278104
"Integrated Care Board","Humber & N Yorkshire",37971,0.0404557518211002,4.04557518211002
"Integrated Care Board","Kent & Medway",31902,0.0339896077163292,3.39896077163292
"Integrated Care Board","Lancashire & S Cumbria",35168,0.0374693286993877,3.74693286993877
"Integrated Care Board","Leicester, Leicestershire & Rutland",16780,0.0178780520807474,1.78780520807474
"Integrated Care Board","Lincolnshire",15479,0.0164919170535095,1.64919170535095
"Integrated Care Board","Mid & S Essex",21464,0.0228685643540621,2.28685643540621
"Integrated Care Board","N Central London",16671,0.0177619193228927,1.77619193228927
"Integrated Care Board","NE & N Cumbria",63030,0.0671545663080757,6.71545663080757
"Integrated Care Board","NE London",16868,0.0179718106375475,1.79718106375475
"Integrated Care Board","Norfolk & Waveney",22783,0.0242738772679183,2.42738772679183
"Integrated Care Board","Northamptonshire",13966,0.014879909139435,1.4879909139435
"Integrated Care Board","Nottingham & Nottinghamshire",18116,0.0193014774430763,1.93014774430763
"Integrated Care Board","NW London",29053,0.0309541744399258,3.09541744399258
"Integrated Care Board","SE London",20461,0.02179992989417,2.179992989417
"Integrated Care Board","Shropshire, Telford & Wrekin",10740,0.0114428056821947,1.14428056821947
"Integrated Care Board","Somerset",12041,0.0128289407094326,1.28289407094326
"Integrated Care Board","South Yorkshire",29703,0.031646709234472,3.1646709234472
"Integrated Care Board","Staffordshire & Stoke-on-Trent",25077,0.0267179923735938,2.67179923735938
"Integrated Care Board","Suffolk & NE Essex",19678,0.0209656918262782,2.09656918262782
"Integrated Care Board","Surrey Heartlands",16715,0.0178087986012928,1.78087986012928
"Integrated Care Board","Sussex",32598,0.0347311526655664,3.47311526655664
"Integrated Care Board","SW London",17017,0.0181305609212204,1.81305609212204
"Integrated Care Board","W Yorkshire",35593,0.0379221399112064,3.79221399112064
