"","termGrp","term","termLabel","or_unadj","lcl95_unadj","ucl95_unadj","p.valueUnadj","or_adj","lcl95_adj","ucl95_adj","p.value"
"1","IMD","imdQF1 - most deprived (ref)","1 - most deprived (ref)",1,NA,NA,NA,1,NA,NA,NA
"2","IMD","imdQF2","2",0.883607750885812,0.869339743542149,0.89810993138798,3.37619607577062e-50,0.945488342990321,0.926182454759049,0.965196654435812,1.00713762449736e-07
"3","IMD","imdQF3","3",0.803044656637496,0.790335002180597,0.815958699506862,5.98543863157807e-160,0.91949588859362,0.900856984744386,0.938520434939482,9.53467506056658e-16
"4","IMD","imdQF4","4",0.741674128763151,0.729952079729673,0.753584418144672,6.23791300734946e-296,0.870335054834818,0.85266610341771,0.888370142354826,3.39281319856411e-40
"5","IMD","imdQF5","5",0.715935495768291,0.704510005246335,0.727546280796633,0,0.87075667869947,0.852598455493555,0.889301626825974,6.52386461465115e-38
"6","Sex","sexMfmale (ref)","male (ref)",1,NA,NA,NA,1,NA,NA,NA
"7","Sex","sexMffemale","female",1.02232729608935,1.01218043121405,1.0325758808395,1.43180536944848e-05,0.97424568478975,0.962014191464114,0.986632694978132,5.17242302925443e-05
"8","Ethnicity","ethnicityWhite - British (ref)","White - British (ref)",1,NA,NA,NA,1,NA,NA,NA
"9","Ethnicity","ethnicityWhite - Irish","White - Irish",1.12912288322672,1.07556364547649,1.1853491802072,9.68166530657948e-07,1.01418703922424,0.953407696906614,1.07884103921932,0.655031710073365
"10","Ethnicity","ethnicityWhite - other groups","White - other groups",1.01504138548423,0.982764508544058,1.04837832999497,0.3651966435801,0.961855949430214,0.923722752893335,1.00156336363529,0.0595228329372441
"11","Ethnicity","ethnicityAsian - Indian","Asian - Indian",1.00735063681655,0.96835932197488,1.04791195010671,0.716134979681495,1.04885558427823,0.998400377905331,1.10186059722819,0.0579132143051669
"12","Ethnicity","ethnicityAsian - Pakistani","Asian - Pakistani",0.870261773383582,0.820218864866148,0.92335788245535,4.24587554891186e-06,0.878442048048709,0.817206932220107,0.944265646014087,0.000438814675589042
"13","Ethnicity","ethnicityAsian - Bangladeshi","Asian - Bangladeshi",0.789915870889672,0.704447175674676,0.88575425472576,5.42699048815909e-05,0.680568978930394,0.590307482875423,0.784631990138784,1.15156520936011e-07
"14","Ethnicity","ethnicityAsian - other groups","Asian - other groups",0.887924010262413,0.832424119167868,0.947124224113805,0.000306576232703872,0.923531324560408,0.85333048395104,0.999507369636215,0.048584920396588
"15","Ethnicity","ethnicityBlack - Caribbean","Black - Caribbean",1.36510224240354,1.29160359009416,1.44278333267818,2.99380297423581e-28,0.987613861754999,0.91858083935327,1.06183484146844,0.736025575746139
"16","Ethnicity","ethnicityBlack - African","Black - African",0.845718136646784,0.780708120819729,0.916141574014013,4.02176974989173e-05,0.928884828387456,0.842232435820632,1.02445238120958,0.13981395107408
"17","Ethnicity","ethnicityBlack - other groups","Black - other groups",1.08466645968661,0.973184480794856,1.2089191227219,0.141895273139846,0.877588456223842,0.764239918732956,1.00774832564911,0.064225666265947
"18","Ethnicity","ethnicityMixed - White & Black Caribbean","Mixed - White & Black Caribbean",0.956371885699434,0.78576507173608,1.16402117713817,0.65633834662934,0.858139404849966,0.674308765300472,1.09208611255129,0.213566293537341
"19","Ethnicity","ethnicityMixed - White & Black African","Mixed - White & Black African",0.805595540094117,0.610298618114775,1.06338791364833,0.126981705533299,1.00888456395668,0.726861534797833,1.40033282084897,0.957829067288568
"20","Ethnicity","ethnicityMixed - White & Asian","Mixed - White & Asian",0.842559341154712,0.695539016341679,1.02065624887724,0.0799428209731332,1.01729282774825,0.808186381607573,1.28050251889859,0.883892196038685
"21","Ethnicity","ethnicityMixed - other groups","Mixed - other groups",0.836139047314774,0.721511976579125,0.968976994337927,0.0173633844416771,0.845477967727136,0.706180579238618,1.0122524109665,0.0676368700824578
"22","Ethnicity","ethnicityChinese","Chinese",0.665567272157446,0.582871647594402,0.759995439125144,1.80556473043116e-09,0.818169844136887,0.695556743078827,0.962397245826304,0.0154056207785828
"23","Ethnicity","ethnicityOther groups","Other groups",0.91035147205595,0.866719807595369,0.956179604310296,0.000178119945844699,0.904072649595591,0.849714967396561,0.961907683291799,0.00143473517974639
"24","Ethnicity","ethnicityNot stated / known","Not stated / known",0.645711777553179,0.635480214206094,0.656108074413888,0,0.903748638753953,0.886211827013688,0.921632477871465,4.37497454215871e-24
